construction,set,horizon,seed,alpha,selection_scheme
triangular,F,2,10,0.01,random_temporal_rows_80_20
triangular,F,4,10,0.0001,random_temporal_rows_80_20
triangular,F,8,10,1e-08,random_temporal_rows_80_20
triangular,S,1,1,1e-08,random_temporal_rows_80_20
triangular,S,2,1,0.001,random_temporal_rows_80_20
triangular,S,4,1,1e-08,random_temporal_rows_80_20
triangular,S,8,1,0.001,random_temporal_rows_80_20
triangular,S,1,2,0.001,random_temporal_rows_80_20
triangular,S,2,2,0.0001,random_temporal_rows_80_20
triangular,S,4,2,0.001,random_temporal_rows_80_20
triangular,S,8,2,1e-08,random_temporal_rows_80_20
triangular,S,1,3,0.001,random_temporal_rows_80_20
triangular,S,2,3,1e-08,random_temporal_rows_80_20
triangular,S,4,3,1e-08,random_temporal_rows_80_20
triangular,S,8,3,0.001,random_temporal_rows_80_20
triangular,S,1,4,0.001,random_temporal_rows_80_20
triangular,S,2,4,0.001,random_temporal_rows_80_20
triangular,S,4,4,1e-08,random_temporal_rows_80_20
triangular,S,8,4,0.001,random_temporal_rows_80_20
triangular,S,1,5,0.0001,random_temporal_rows_80_20
triangular,S,2,5,0.0001,random_temporal_rows_80_20
triangular,S,4,5,1e-08,random_temporal_rows_80_20
triangular,S,8,5,1e-08,random_temporal_rows_80_20
triangular,S,1,6,1e-08,random_temporal_rows_80_20
triangular,S,2,6,1e-08,random_temporal_rows_80_20
