scenario,model,horizon,predicted_nrmse,measured_nrmse
ar2_rho090_f012,triangular,8,0.9225261433821559,0.9233518801214942
ar2_rho090_f012,triangular,16,0.9903636900371071,0.9904352526571673
ar2_rho090_f012,triangular,32,1.002193889210146,1.0024259210982647
ar2_rho090_f012,triangular,64,1.0038238120953333,1.0031304471726108
ar2_rho090_f012,triangular,128,1.0023137822234394,1.0021635775211875
ar2_rho090_f012,uniform,1,0.41926273555499116,0.423652324475238
ar2_rho090_f012,uniform,2,0.6874569207442636,0.6912091388978809
ar2_rho090_f012,uniform,4,0.7839141373364936,0.7862793539741771
ar2_rho090_f012,uniform,8,0.922483598303028,0.9239146341299479
ar2_rho090_f012,uniform,16,0.9904709540581784,0.9906262342517201
ar2_rho090_f012,uniform,32,1.002218419149771,1.002623204765904
ar2_rho090_f012,uniform,64,1.0037533190452461,1.0031790358988648
ar2_rho090_f012,uniform,128,1.002342688528544,1.0020645760286369
colored_beta05,AB_noaux,1,0.9269835124349801,0.9294292645861802
colored_beta05,AB_noaux,2,0.9671973672951452,0.9685935074812208
colored_beta05,AB_noaux,4,0.9824835432358755,0.9833251184143794
colored_beta05,AB_noaux,8,0.9918207252180673,0.9922030781666789
colored_beta05,AB_noaux,16,0.9962920192262786,0.9970816180464114
colored_beta05,AB_noaux,32,0.9988872839312406,0.9997075727229335
colored_beta05,AB_noaux,64,0.9996785033974912,1.0003887832484457
colored_beta05,AB_noaux,128,1.0001398597414572,1.0009908017377154
colored_beta05,QRC_K0,1,0.9257346760059533,0.928161964348847
colored_beta05,QRC_K0,2,0.9660130749982172,0.9673312979485915
colored_beta05,QRC_K0,4,0.9817721490349793,0.982347502991324
colored_beta05,QRC_K0,8,0.9925970477456344,0.992361263768105
colored_beta05,QRC_K0,16,0.9974356469216331,0.9971606916497296
colored_beta05,QRC_K0,32,1.0005028354642398,1.0004983316468101
colored_beta05,QRC_K0,64,1.0004250969557538,1.00079543707733
colored_beta05,QRC_K0,128,1.0005313788020187,1.0013809920250905
colored_beta05,single_kernel,1,0.9256098818162172,0.9280878350777085
colored_beta05,single_kernel,2,0.9658025787778352,0.9673153613241205
colored_beta05,single_kernel,4,0.9813296384286326,0.9821952593100833
colored_beta05,single_kernel,8,0.992141055298798,0.9924265016594604
colored_beta05,single_kernel,16,0.9965960565265068,0.9971914332042231
colored_beta05,single_kernel,32,0.9996464484005867,0.999889759717796
colored_beta05,single_kernel,64,1.0000531035070535,1.000613240730508
colored_beta05,single_kernel,128,1.0002433335566776,1.0010508113279455
colored_beta05,triangular,1,0.9255724960458394,0.9281921955342916
colored_beta05,triangular,2,0.9656463148207433,0.9673917046563231
colored_beta05,triangular,4,0.9811679214483716,0.982180105500643
colored_beta05,triangular,8,0.991829089611544,0.9922509365785831
colored_beta05,triangular,16,0.996259171675992,0.9970367801311046
colored_beta05,triangular,32,0.9988708072963485,0.9994731478978586
colored_beta05,triangular,64,0.9995499745777445,1.0008821318616503
colored_beta05,triangular,128,1.000030679786416,1.0008830591576978
colored_beta05,uniform,1,0.9257413749674599,0.9283943972029545
colored_beta05,uniform,2,0.9657863631583748,0.9675992700282597
colored_beta05,uniform,4,0.9810993563201319,0.9821996841730185
colored_beta05,uniform,8,0.9917796845006266,0.9921842932341052
colored_beta05,uniform,16,0.9963508959278493,0.9970046443150102
colored_beta05,uniform,32,0.998701356505441,0.9993149477843577
colored_beta05,uniform,64,0.9993017771509436,1.0008099523973433
colored_beta05,uniform,128,0.9998386573083522,1.0007659286581176
colored_beta15,AB_noaux,1,0.32615254262184074,0.32762036764937735
colored_beta15,AB_noaux,2,0.4330154741036152,0.43497737389349306
colored_beta15,AB_noaux,4,0.5329881559484764,0.5357273813904448
colored_beta15,AB_noaux,8,0.6351698968502403,0.6401404753877389
colored_beta15,AB_noaux,16,0.7514114712765444,0.7616570592287139
colored_beta15,AB_noaux,32,0.8502874069426591,0.8700639206077871
colored_beta15,AB_noaux,64,0.9185097784150076,0.9596665154749674
colored_beta15,AB_noaux,128,0.9280451770514038,0.9966739974101938
colored_beta15,QRC_K0,1,0.32596557377024654,0.32785463812061866
colored_beta15,QRC_K0,2,0.4334425462346731,0.4357083315880029
colored_beta15,QRC_K0,4,0.533607972484757,0.5363898446902488
colored_beta15,QRC_K0,8,0.637440846245352,0.6411545055896554
colored_beta15,QRC_K0,16,0.7581757991937503,0.7624397201545174
colored_beta15,QRC_K0,32,0.8675276133753994,0.8747268787613911
colored_beta15,QRC_K0,64,0.9554656241118062,0.9604424054918055
colored_beta15,QRC_K0,128,0.9787213434721098,1.0087932014429384
colored_beta15,single_kernel,1,0.3257878697279279,0.3270233299220633
colored_beta15,single_kernel,2,0.43302907368143984,0.4346525398979959
colored_beta15,single_kernel,4,0.5326868584779622,0.5354884588275739
colored_beta15,single_kernel,8,0.6352850741343459,0.6395205699182898
colored_beta15,single_kernel,16,0.7530817618369281,0.7613673992527141
colored_beta15,single_kernel,32,0.8541337181612013,0.8776723177558646
colored_beta15,single_kernel,64,0.9269607055843978,0.9604566710238895
colored_beta15,single_kernel,128,0.9403616107877559,1.0012589667502116
colored_beta15,triangular,1,0.325792235284594,0.32703291345575125
colored_beta15,triangular,2,0.43300284303004316,0.43482919662309033
colored_beta15,triangular,4,0.5323906745588411,0.5352617094547734
colored_beta15,triangular,8,0.6340270814367039,0.6393093525275266
colored_beta15,triangular,16,0.750132795376177,0.7610631626536005
colored_beta15,triangular,32,0.8483064159321735,0.8726204797477216
