construction,analysis_mode,set,horizon,n_segments,mean_nrmse,ci95_lo,ci95_hi,diff_from_k0
ESN66_K0,retuned_core,S,64,20,1.0096123640608865,1.0014430874161881,1.0234627031248096,0.0
ESN66_K0,retuned_core,S,128,20,1.0077358974061488,1.0008323045798246,1.0174351057897086,0.0
ESN66_K0,retuned_core,Z,1,20,0.26573772230993686,0.23204750114516726,0.3109961834877474,0.0
ESN66_K0,retuned_core,Z,2,20,0.5061285583535369,0.4615532542163753,0.562478197681069,0.0
ESN66_K0,retuned_core,Z,4,20,0.8742933685025939,0.8263499173160688,0.9272392246075329,0.0
ESN66_K0,retuned_core,Z,8,20,0.9982627843332024,0.9566996023607623,1.0397116126231751,0.0
ESN66_K0,retuned_core,Z,16,20,1.0297462369825527,0.9846542250753103,1.0773747681667991,0.0
ESN66_K0,retuned_core,Z,32,20,1.1012756125348113,1.052758816330488,1.1590946732153402,0.0
ESN66_K0,retuned_core,Z,64,20,1.162504993977575,1.0907427931200606,1.2473795504566674,0.0
ESN66_K0,retuned_core,Z,128,20,1.1775424678479225,1.094698912815684,1.27629411430693,0.0
ESN66_kernel,fixed_core,F,1,20,0.18928793241883976,0.1613136439022435,0.21948797999417677,0.004673154516794037
ESN66_kernel,fixed_core,F,2,20,0.3358341705024696,0.2948878077458887,0.37797582716643735,0.004341260706655969
ESN66_kernel,fixed_core,F,4,20,0.6230088619832583,0.5647390266340854,0.6815605458650353,-8.212230003512566e-05
ESN66_kernel,fixed_core,F,8,20,0.9274009685914253,0.8752013967231702,0.9758953042287944,-0.005276468091988784
ESN66_kernel,fixed_core,F,16,20,1.0732288288011438,1.0294110505120562,1.1197763062879835,-0.014557902902913922
ESN66_kernel,fixed_core,F,32,20,1.0988518418619198,1.06732646706344,1.1330789991875416,-0.024753903475787764
ESN66_kernel,fixed_core,F,64,20,1.0850604745192536,1.0557027358951345,1.1167483239658023,-0.03685591472256644
ESN66_kernel,fixed_core,F,128,20,1.0774658517812044,1.0461131139972752,1.115049603021476,-0.03158871363682891
ESN66_kernel,fixed_core,S,1,20,0.17061009660228083,0.146211335607781,0.1972192736017111,0.0079800848294303
ESN66_kernel,fixed_core,S,2,20,0.37577235544995413,0.32925396007848057,0.430106321699912,0.008669287356867228
ESN66_kernel,fixed_core,S,4,20,0.7629964562475239,0.6987207529406937,0.832892922850395,-0.005795401260251576
ESN66_kernel,fixed_core,S,8,20,0.9615446088255302,0.9096875460522331,1.0247075698749881,-0.003899989401411341
ESN66_kernel,fixed_core,S,16,20,0.9824346197962314,0.9451875750189155,1.0286203049534557,0.010188599422882638
ESN66_kernel,fixed_core,S,32,20,1.0003452231676524,0.9811149681185072,1.021926639193736,0.002993538722662503
ESN66_kernel,fixed_core,S,64,20,1.0096647772531033,1.0024647517627066,1.0217153928974503,5.241319221682694e-05
ESN66_kernel,fixed_core,S,128,20,1.0063610750837508,1.0008374441451557,1.013335430985358,-0.0013748223223979394
ESN66_kernel,fixed_core,Z,1,20,0.2685564656107778,0.2353280886731138,0.3133234577585978,0.00281874330084092
ESN66_kernel,fixed_core,Z,2,20,0.506913467722859,0.46429669721914407,0.5605687863615082,0.0007849093693220732
ESN66_kernel,fixed_core,Z,4,20,0.8614190984168275,0.821225716466819,0.9045047104188605,-0.01287427008576636
ESN66_kernel,fixed_core,Z,8,20,0.9784163119635083,0.9490881242941716,1.0062760207451897,-0.019846472369694057
ESN66_kernel,fixed_core,Z,16,20,1.006939249664516,0.9748551643699466,1.0376015046943923,-0.022806987318036764
ESN66_kernel,fixed_core,Z,32,20,1.0822013624497289,1.045821437462051,1.123293568925373,-0.019074250085082456
ESN66_kernel,fixed_core,Z,64,20,1.1405911970101916,1.085562784780609,1.2041938855864738,-0.02191379696738327
ESN66_kernel,fixed_core,Z,128,20,1.147526781359465,1.0870060408198354,1.219044902009084,-0.030015686488457538
ESN66_kernel,retuned_core,F,1,20,0.18928793241883976,0.1613136439022435,0.21948797999417677,0.004673154516794037
ESN66_kernel,retuned_core,F,2,20,0.3358341705024696,0.2948878077458887,0.37797582716643735,0.004341260706655969
ESN66_kernel,retuned_core,F,4,20,0.6230088619832583,0.5647390266340854,0.6815605458650353,-8.212230003512566e-05
ESN66_kernel,retuned_core,F,8,20,0.9274009685914253,0.8752013967231702,0.9758953042287944,-0.005276468091988784
ESN66_kernel,retuned_core,F,16,20,1.0732288288011438,1.0294110505120562,1.1197763062879835,-0.014557902902913922
ESN66_kernel,retuned_core,F,32,20,1.0988518418619198,1.06732646706344,1.1330789991875416,-0.024753903475787764
ESN66_kernel,retuned_core,F,64,20,1.0850604745192536,1.0557027358951345,1.1167483239658023,-0.03685591472256644
ESN66_kernel,retuned_core,F,128,20,1.0774658517812044,1.0461131139972752,1.115049603021476,-0.03158871363682891
ESN66_kernel,retuned_core,S,1,20,0.17061009660228083,0.146211335607781,0.1972192736017111,0.0079800848294303
ESN66_kernel,retuned_core,S,2,20,0.37577235544995413,0.32925396007848057,0.430106321699912,0.008669287356867228
ESN66_kernel,retuned_core,S,4,20,0.7629964562475239,0.6987207529406937,0.832892922850395,-0.005795401260251576
ESN66_kernel,retuned_core,S,8,20,0.9615446088255302,0.9096875460522331,1.0247075698749881,-0.003899989401411341
ESN66_kernel,retuned_core,S,16,20,0.9824346197962314,0.9451875750189155,1.0286203049534557,0.010188599422882638
ESN66_kernel,retuned_core,S,32,20,1.0003452231676524,0.9811149681185072,1.021926639193736,0.002993538722662503
ESN66_kernel,retuned_core,S,64,20,1.0096647772531033,1.0024647517627066,1.0217153928974503,5.241319221682694e-05
ESN66_kernel,retuned_core,S,128,20,1.0063610750837508,1.0008374441451557,1.013335430985358,-0.0013748223223979394
ESN66_kernel,retuned_core,Z,1,20,0.2685564656107778,0.2353280886731138,0.3133234577585978,0.00281874330084092
ESN66_kernel,retuned_core,Z,2,20,0.506913467722859,0.46429669721914407,0.5605687863615082,0.0007849093693220732
ESN66_kernel,retuned_core,Z,4,20,0.8614190984168275,0.821225716466819,0.9045047104188605,-0.01287427008576636
ESN66_kernel,retuned_core,Z,8,20,0.9784163119635083,0.9490881242941716,1.0062760207451897,-0.019846472369694057
ESN66_kernel,retuned_core,Z,16,20,1.006939249664516,0.9748551643699466,1.0376015046943923,-0.022806987318036764
ESN66_kernel,retuned_core,Z,32,20,1.0822013624497289,1.045821437462051,1.123293568925373,-0.019074250085082456
ESN66_kernel,retuned_core,Z,64,20,1.1405911970101916,1.085562784780609,1.2041938855864738,-0.02191379696738327
ESN66_kernel,retuned_core,Z,128,20,1.147526781359465,1.0870060408198354,1.219044902009084,-0.030015686488457538
