construction,analysis_mode,set,horizon,seed,alpha,selection_scheme
ESN66_K0,fixed_core,F,64,7,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,128,7,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,1,8,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,2,8,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,4,8,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,8,8,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,16,8,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,32,8,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,64,8,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,128,8,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,1,9,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,F,2,9,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,F,4,9,0.001,blocked_segments_train_val
ESN66_K0,fixed_core,F,8,9,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,16,9,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,32,9,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,64,9,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,128,9,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,F,1,10,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,2,10,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,4,10,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,8,10,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,16,10,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,32,10,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,64,10,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,128,10,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,1,1,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,2,1,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,4,1,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,S,8,1,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,16,1,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,32,1,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,64,1,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,128,1,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,1,2,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,S,2,2,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,S,4,2,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,S,8,2,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,S,16,2,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,32,2,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,64,2,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,128,2,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,1,3,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,2,3,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,S,4,3,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,S,8,3,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,16,3,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,32,3,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,64,3,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,128,3,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,1,4,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,S,2,4,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,S,4,4,0.001,blocked_segments_train_val
ESN66_K0,fixed_core,S,8,4,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,16,4,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,32,4,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,64,4,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,128,4,10.0,blocked_segments_train_val
