set,model,horizon,shots,mean_nrmse,median_nrmse_inflation,mean_nrmse_inflation,paired_segment_ci95_low,paired_segment_ci95_high,median_relative_nrmse_inflation,mean_relative_nrmse_inflation,p90_relative_nrmse_inflation,useful_horizon,criterion,exact_useful_horizon,useful_horizon_change_from_exact,median,p90,principal_signs_preserved,stratum_pass,stratum_pass_fraction_within_shot,principal_sign_fraction_definition
F,AB_noaux,128,100,1.0749569461848325,0.0159406756621356,0.026647746093512,0.0132278891437355,0.0429260196770725,0.0153495046513546,0.024339786128732,0.0672189270636923,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0084848192234442,0.0442260813975231,True,True,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,128,300,1.0687100833116707,0.0119796255344639,0.02040088322035,0.0108117854214858,0.033419271038593,0.0116751426843825,0.0186281033666865,0.051062119526138,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0050127157396975,0.027987634313163,True,True,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,128,1000,1.0629979347121363,0.0095943223196904,0.0146887346208156,0.0074318783829334,0.0237611549681187,0.0092281950442863,0.0134418631935887,0.0343100380406616,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0024618397787117,0.0211308722395412,True,True,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,128,3000,1.0575534295692706,0.0052801532733233,0.00924422947795,0.0048289714111927,0.0151932187856469,0.0050206526554258,0.0085140556537534,0.0223449591061163,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.0010579970436872,0.0155618273765038,True,True,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,128,10000,1.0544937447835778,0.0021820019400293,0.0061845446922572,0.0026701999475348,0.0105239522565913,0.0020669801963672,0.0057313442590254,0.0202051831134272,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.0003112778809552,0.0078904266764272,True,True,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,1,100,0.7273541534193235,0.4060885749280165,0.4809374713820208,0.3866399691484748,0.5912479440729461,2.3310541116148435,2.331448115007061,3.987474103744081,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,2.320082509441844,3.947008252201334,True,False,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,1,300,0.6031941064137283,0.2998555066472533,0.3567774243764255,0.2738687978213977,0.441219490049953,1.653238018473452,1.7418034860230351,3.1090150085842696,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,1.636012010574666,3.0428897957383088,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,1,1000,0.4912522237664279,0.2042862648909139,0.2448355417291253,0.1822533408503999,0.3147160987699985,1.1230939575911354,1.217878118657744,2.2648421863391515,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,1.1327763678630285,2.2652770348574025,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,1,3000,0.4227370086233961,0.1418407096477032,0.1763203265860934,0.1249437140815774,0.230674386131812,0.8142323002930257,0.8930229837993939,1.772877633279426,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.8402646617130815,1.8027328999791128,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,1,10000,0.371889283310349,0.0983868615205643,0.1254726012730462,0.0835427865307954,0.1699840329475563,0.5853695881892036,0.6450766246092292,1.3569525484004037,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.6362231407206409,1.3929446327781931,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
