analysis,scope,shots,set,model,horizon,median_absolute_nrmse_inflation,mean_absolute_nrmse_inflation,median_relative_nrmse_inflation,p90_relative_nrmse_inflation,n_rows,passing_strata,total_strata,passing_fraction,notes,comparator,interaction,interaction_change_from_exact,magnitude_ratio_to_exact,sign_preserved
inflation,horizon,1000,ALL,ALL,16,0.0073586973270910495,0.01738057296524704,0.0074462304628659,0.059954398027183824,5400.0,,,,,,,,,
inflation,horizon,3000,ALL,ALL,16,0.0046662107818950995,0.01381095595080357,0.00466767932923275,0.05316615909206243,5400.0,,,,,,,,,
inflation,horizon,10000,ALL,ALL,16,0.003486166234271,0.011440523797333691,0.00353696081244075,0.047275367482445256,5400.0,,,,,,,,,
inflation,horizon,100,ALL,ALL,32,0.013956656283114651,0.022876277357796654,0.0135766076427105,0.05649616076382173,5400.0,,,,,,,,,
inflation,horizon,300,ALL,ALL,32,0.0108353217252459,0.017799198980275387,0.0105146516463258,0.04732034652947253,5400.0,,,,,,,,,
inflation,horizon,1000,ALL,ALL,32,0.00744997885770035,0.013807808794153607,0.00726589535544395,0.03831639312292051,5400.0,,,,,,,,,
inflation,horizon,3000,ALL,ALL,32,0.00405099268217815,0.010715341437640559,0.00398706304280845,0.03089513355530703,5400.0,,,,,,,,,
inflation,horizon,10000,ALL,ALL,32,0.0017065045581259502,0.0076563362463937515,0.00166124378261355,0.024057029829712213,5400.0,,,,,,,,,
inflation,horizon,100,ALL,ALL,64,0.0066158747317845,0.01893760310911004,0.0063742104888729004,0.04951131592622144,5400.0,,,,,,,,,
inflation,horizon,300,ALL,ALL,64,0.0049301500439058,0.014029105047507989,0.00463628878731835,0.04042225610885715,5400.0,,,,,,,,,
inflation,horizon,1000,ALL,ALL,64,0.00367560198096055,0.010253075400969404,0.0035012826548521,0.03200087958265572,5400.0,,,,,,,,,
inflation,horizon,3000,ALL,ALL,64,0.00228860291637175,0.007227835183038002,0.0021737195234947998,0.02566263668904467,5400.0,,,,,,,,,
inflation,horizon,10000,ALL,ALL,64,0.0010745115837361,0.005118510364229502,0.0010357209268213,0.019921841556534783,5400.0,,,,,,,,,
inflation,horizon,100,ALL,ALL,128,0.00533444926021625,0.013597628756390203,0.005137801968797651,0.03863670207145053,5400.0,,,,,,,,,
inflation,horizon,300,ALL,ALL,128,0.0036129278075291496,0.008552244842218129,0.00347563749409905,0.02728299708170764,5400.0,,,,,,,,,
inflation,horizon,1000,ALL,ALL,128,0.0022261637437468,0.005136297671760091,0.0021375427421442,0.021019009487071177,5400.0,,,,,,,,,
inflation,horizon,3000,ALL,ALL,128,0.0011318288410889,0.0023659479545313153,0.00107929597594695,0.01507433993833956,5400.0,,,,,,,,,
inflation,horizon,10000,ALL,ALL,128,0.0003973559156288,0.0007400088568524514,0.0003784562313965,0.009670499561035582,5400.0,,,,,,,,,
stratum_pass,global,100,ALL,ALL,ALL,,,,,,12.0,24.0,0.5,,,,,,
stratum_pass,global,300,ALL,ALL,ALL,,,,,,13.0,24.0,0.5416666666666666,,,,,,
stratum_pass,global,1000,ALL,ALL,ALL,,,,,,13.0,24.0,0.5416666666666666,,,,,,
stratum_pass,global,3000,ALL,ALL,ALL,,,,,,14.0,24.0,0.5833333333333334,,,,,,
stratum_pass,global,10000,ALL,ALL,ALL,,,,,,14.0,24.0,0.5833333333333334,,,,,,
tail_cell,set_model_horizon,100,S,single_kernel,1,0.3833986481562687,0.4453938576056965,2.5534510520133,5.656998640941239,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,100,S,QRC_K0,1,0.3709471742795189,0.4348512239396859,2.3623965587464517,5.377210999569364,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,300,S,single_kernel,1,0.2724594116762837,0.3201164054847721,1.7860210512430583,4.207191615017023,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,100,F,single_kernel,1,0.4401648176327761,0.5039136263381961,2.6007930637619765,4.199868784426377,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,300,S,QRC_K0,1,0.2613501160432653,0.3118735405579488,1.6416967125123136,4.161500476458249,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
