comparison,n_segments,mean_diff_rmse_comparator_minus_state,median_diff,ci95_lo,ci95_hi,p_wilcoxon,p_ttest,cohen_dz,wins_state,win_fraction_state,set,horizon,p_holm
single_kernel vs ESN,20,0.006400447803234765,0.0037382892950656443,-0.009982222249019828,0.02436864129902173,0.5216732025146484,0.4797501424145969,0.16119734062922722,12,0.6,S,8,1.0
dual_kernel vs single_kernel,20,-0.0015857608280727658,-0.0021660724022278532,-0.0022101410342257274,-0.0009219465017976457,0.0004825592041015625,0.0001465421546423567,-1.0571019302703248,4,0.2,Z,1,0.0115814208984375
single_kernel vs AB_noaux,20,0.04175460278749439,0.04198128556066094,0.03552306098713895,0.04840753255548823,1.9073486328125e-06,1.2408133415834564e-10,2.8022655441123825,20,1.0,Z,1,6.866455078125e-05
single_kernel vs ESN,20,-0.005274635756580137,-0.006214623397079316,-0.00744644751973933,-0.002586255951118751,0.0007076263427734375,0.0005896087423126215,-0.9200768916322076,1,0.05,Z,1,0.016275405883789062
dual_kernel vs single_kernel,20,-0.0019740519961275573,-0.0029217462645990677,-0.003271452113366946,-0.0005867458768708698,0.01068878173828125,0.011278452047116106,-0.6274118967176565,6,0.3,Z,2,0.18170928955078125
single_kernel vs AB_noaux,20,0.04803355569208203,0.046504697308211135,0.04041307918684139,0.05567308779172912,1.9073486328125e-06,1.9930378127407e-10,2.725214055093778,20,1.0,Z,2,6.866455078125e-05
single_kernel vs ESN,20,-0.004463808460315596,-0.007401011400051588,-0.008795799932330192,0.00041083497867984236,0.029575347900390625,0.08080626496953541,-0.4123740789335447,5,0.25,Z,2,0.41405487060546875
dual_kernel vs single_kernel,20,-0.0008866658357634172,-0.0015321687544418983,-0.0028326840263347103,0.001279699110844854,0.24548721313476562,0.4252271585540309,-0.1822170177183262,9,0.45,Z,4,1.0
single_kernel vs AB_noaux,20,0.011093843087480643,0.010171371889308667,0.006126942964805876,0.015947673453605916,0.0003223419189453125,0.00039391937247206747,0.9596120712100658,17,0.85,Z,4,0.008058547973632812
single_kernel vs ESN,20,0.008729094411533805,-0.002148509394538256,-0.0028811849607872056,0.021554028971176514,0.6742229461669922,0.186615093073764,0.30637406044779114,9,0.45,Z,4,1.0
dual_kernel vs single_kernel,20,0.0014246050740938099,0.0009588773988458699,5.554429505194872e-05,0.0027304854633382093,0.069580078125,0.05794828875906751,0.4512158152111785,14,0.7,Z,8,0.7009487152099609
single_kernel vs AB_noaux,20,0.00280009106886811,0.0025521421934923127,0.00018603605933110323,0.0054677765301467075,0.082550048828125,0.05739289343457987,0.452319981506011,14,0.7,Z,8,0.742950439453125
single_kernel vs ESN,20,0.02815933565824874,0.010227525072972365,0.009721343272075024,0.04986235393288167,0.006389617919921875,0.015509293767620986,0.594498062868479,17,0.85,Z,8,0.11501312255859375
