model,set,horizon,channel_seed,segment_id,nrmse_new,nrmse_reference,abs_nrmse_difference
QRC_K0,Z,8,2,Z077,0.9503234318378578,0.9503234318378578,0.0
QRC_K0,Z,8,2,Z080,1.0495355590818243,1.0495355590818245,2.220446049250313e-16
QRC_K0,Z,8,2,Z082,1.0014766540956535,1.0014766540956537,2.220446049250313e-16
QRC_K0,Z,8,2,Z083,0.9923203938788194,0.9923203938788194,0.0
QRC_K0,Z,16,2,Z005,0.9294050944239174,0.9294050944239174,0.0
QRC_K0,Z,16,2,Z007,0.9880041995185086,0.9880041995185086,0.0
QRC_K0,Z,16,2,Z009,1.0024730896073732,1.0024730896073732,0.0
QRC_K0,Z,16,2,Z011,1.0612672317712104,1.0612672317712104,0.0
QRC_K0,Z,16,2,Z013,1.0769947181368678,1.0769947181368678,0.0
QRC_K0,Z,16,2,Z019,1.0407151513272133,1.0407151513272133,0.0
QRC_K0,Z,16,2,Z028,1.0357690529501016,1.0357690529501016,0.0
QRC_K0,Z,16,2,Z030,1.048838939081598,1.048838939081598,0.0
QRC_K0,Z,16,2,Z034,1.007305811510755,1.007305811510755,0.0
QRC_K0,Z,16,2,Z035,0.8120762366172419,0.8120762366172419,0.0
QRC_K0,Z,16,2,Z037,0.9552829423688332,0.9552829423688332,0.0
QRC_K0,Z,16,2,Z067,0.9478258995623097,0.9478258995623096,1.1102230246251565e-16
QRC_K0,Z,16,2,Z068,0.9708961763970893,0.9708961763970893,0.0
QRC_K0,Z,16,2,Z072,0.9898563285814019,0.989856328581402,1.1102230246251565e-16
QRC_K0,Z,16,2,Z073,1.0898052555696616,1.0898052555696616,0.0
QRC_K0,Z,16,2,Z075,0.9726642326399821,0.972664232639982,1.1102230246251565e-16
QRC_K0,Z,16,2,Z077,0.9566946039792136,0.9566946039792136,0.0
QRC_K0,Z,16,2,Z080,1.0676286808324822,1.0676286808324822,0.0
QRC_K0,Z,16,2,Z082,0.9980723266222608,0.9980723266222608,0.0
QRC_K0,Z,16,2,Z083,1.0161609921239292,1.0161609921239292,0.0
QRC_K0,Z,32,2,Z005,1.026340465779663,1.026340465779663,0.0
QRC_K0,Z,32,2,Z007,1.0484751878943392,1.0484751878943392,0.0
QRC_K0,Z,32,2,Z009,1.0544116445644232,1.0544116445644232,0.0
QRC_K0,Z,32,2,Z011,1.0708592440902467,1.070859244090247,2.220446049250313e-16
QRC_K0,Z,32,2,Z013,1.0838262767804068,1.0838262767804068,0.0
QRC_K0,Z,32,2,Z019,1.065069335624163,1.065069335624163,0.0
QRC_K0,Z,32,2,Z028,1.1347979330653415,1.1347979330653415,0.0
