model,set,horizon,channel_seed,segment_id,nrmse_new,nrmse_reference,abs_nrmse_difference
QRC_K0,Z,1,2,Z072,0.24046250947531234,0.2404625094753123,2.7755575615628914e-17
QRC_K0,Z,1,2,Z073,0.2785122783133714,0.2785122783133714,0.0
QRC_K0,Z,1,2,Z075,0.2019733895085546,0.2019733895085546,0.0
QRC_K0,Z,1,2,Z077,0.223513943069796,0.223513943069796,0.0
QRC_K0,Z,1,2,Z080,0.29525241152564563,0.2952524115256456,5.551115123125783e-17
QRC_K0,Z,1,2,Z082,0.2969699428831597,0.2969699428831597,0.0
QRC_K0,Z,1,2,Z083,0.25105873837179754,0.2510587383717975,5.551115123125783e-17
QRC_K0,Z,2,2,Z005,0.4823909930218081,0.4823909930218081,0.0
QRC_K0,Z,2,2,Z007,0.5110891843268867,0.5110891843268867,0.0
QRC_K0,Z,2,2,Z009,0.4631293194563033,0.4631293194563033,0.0
QRC_K0,Z,2,2,Z011,0.46983800106822987,0.4698380010682298,5.551115123125783e-17
QRC_K0,Z,2,2,Z013,0.43125953796342387,0.4312595379634238,5.551115123125783e-17
QRC_K0,Z,2,2,Z019,0.4312997043858277,0.4312997043858277,0.0
QRC_K0,Z,2,2,Z028,0.4358866208799676,0.4358866208799676,0.0
QRC_K0,Z,2,2,Z030,0.8854752267517123,0.8854752267517123,0.0
QRC_K0,Z,2,2,Z034,0.6649514495384586,0.6649514495384586,0.0
QRC_K0,Z,2,2,Z035,0.33105571442919723,0.3310557144291972,5.551115123125783e-17
QRC_K0,Z,2,2,Z037,0.4395851946084576,0.4395851946084576,0.0
QRC_K0,Z,2,2,Z067,0.41598374592801385,0.4159837459280138,5.551115123125783e-17
QRC_K0,Z,2,2,Z068,0.47890223888236366,0.4789022388823636,5.551115123125783e-17
QRC_K0,Z,2,2,Z072,0.5168518344793018,0.5168518344793018,0.0
QRC_K0,Z,2,2,Z073,0.5226423213864617,0.5226423213864617,0.0
QRC_K0,Z,2,2,Z075,0.4282715482758279,0.4282715482758279,0.0
QRC_K0,Z,2,2,Z077,0.4521428285516214,0.4521428285516214,0.0
QRC_K0,Z,2,2,Z080,0.5562351284197418,0.5562351284197418,0.0
QRC_K0,Z,2,2,Z082,0.5720318294993527,0.5720318294993527,0.0
QRC_K0,Z,2,2,Z083,0.47919810621286085,0.4791981062128608,5.551115123125783e-17
QRC_K0,Z,4,2,Z005,0.8165474684757352,0.8165474684757352,0.0
QRC_K0,Z,4,2,Z007,0.9124347914915231,0.9124347914915232,1.1102230246251565e-16
QRC_K0,Z,4,2,Z009,0.7808474402274299,0.7808474402274299,0.0
QRC_K0,Z,4,2,Z011,0.8235812708813453,0.8235812708813453,0.0
QRC_K0,Z,4,2,Z013,0.8131461767486787,0.8131461767486787,0.0
QRC_K0,Z,4,2,Z019,0.7960842056697613,0.7960842056697613,0.0
QRC_K0,Z,4,2,Z028,0.7918173066963894,0.7918173066963894,0.0
QRC_K0,Z,4,2,Z030,1.1235381943520668,1.1235381943520668,0.0
QRC_K0,Z,4,2,Z034,0.9658549529777997,0.9658549529777996,1.1102230246251565e-16
QRC_K0,Z,4,2,Z035,0.6336512602031285,0.6336512602031285,0.0
QRC_K0,Z,4,2,Z037,0.8069610838620085,0.8069610838620085,0.0
QRC_K0,Z,4,2,Z067,0.76444266285157,0.76444266285157,0.0
QRC_K0,Z,4,2,Z068,0.8344161352014987,0.8344161352014987,0.0
QRC_K0,Z,4,2,Z072,0.9262109179210244,0.9262109179210244,0.0
QRC_K0,Z,4,2,Z073,0.9026196893834642,0.9026196893834642,0.0
QRC_K0,Z,4,2,Z075,0.7988631104466838,0.7988631104466838,0.0
QRC_K0,Z,4,2,Z077,0.8276139205586308,0.8276139205586308,0.0
QRC_K0,Z,4,2,Z080,0.9327584941817864,0.9327584941817864,0.0
QRC_K0,Z,4,2,Z082,0.9461987792870834,0.9461987792870834,0.0
QRC_K0,Z,4,2,Z083,0.8523148568807748,0.8523148568807748,0.0
QRC_K0,Z,8,2,Z005,0.9126408873018396,0.9126408873018396,0.0
QRC_K0,Z,8,2,Z007,0.9960245421170167,0.9960245421170169,1.1102230246251565e-16
QRC_K0,Z,8,2,Z009,0.9408178882178646,0.9408178882178646,0.0
QRC_K0,Z,8,2,Z011,1.0218909967847554,1.0218909967847554,0.0
QRC_K0,Z,8,2,Z013,1.028362011373975,1.028362011373975,0.0
QRC_K0,Z,8,2,Z019,0.9962645230211211,0.9962645230211212,1.1102230246251565e-16
QRC_K0,Z,8,2,Z028,0.9627618707483765,0.9627618707483764,1.1102230246251565e-16
QRC_K0,Z,8,2,Z030,1.0125577322347836,1.0125577322347836,0.0
QRC_K0,Z,8,2,Z034,0.9795270123201978,0.9795270123201978,0.0
QRC_K0,Z,8,2,Z035,0.76844028881756,0.76844028881756,0.0
QRC_K0,Z,8,2,Z037,0.9197368068794961,0.919736806879496,1.1102230246251565e-16
QRC_K0,Z,8,2,Z067,0.9048803240486076,0.9048803240486076,0.0
QRC_K0,Z,8,2,Z068,0.941749098234602,0.941749098234602,0.0
QRC_K0,Z,8,2,Z072,0.9791862339091711,0.9791862339091713,1.1102230246251565e-16
QRC_K0,Z,8,2,Z073,1.0552279019240896,1.0552279019240896,0.0
QRC_K0,Z,8,2,Z075,0.940608958151125,0.940608958151125,0.0
