construction,set,horizon,horizon_ms,n_segments,mean_nrmse,ci95_lo,ci95_hi
AB_noaux,Z,16,92.16058982777488,20,0.9877306140235727,0.964383164250839,1.0079517842982084
AB_noaux,Z,32,184.32117965554977,20,1.0451020498388095,1.028430914779165,1.0619274067582538
AB_noaux,Z,64,368.64235931109954,20,1.0838625841000025,1.0603692839655798,1.1104675640610848
AB_noaux,Z,128,737.2847186221991,20,1.0798747896732839,1.0556346250765185,1.10762913740549
AR,F,1,5.76003686423593,20,0.16197344241809927,0.1338379589870854,0.19283822812200757
AR,F,2,11.52007372847186,20,0.3096911578423732,0.26450345859432584,0.3566770032780108
AR,F,4,23.04014745694372,20,0.6146450642303809,0.5511751259774347,0.6782118661752407
AR,F,8,46.08029491388744,20,0.940654529104633,0.8793233876573894,0.9997528490510612
AR,F,16,92.16058982777488,20,1.103407663466745,1.0388756181971457,1.1764608279393345
AR,F,32,184.32117965554977,20,1.1557367570176607,1.0811036176226982,1.2469319464269495
AR,F,64,368.64235931109954,20,1.14184183531238,1.069938675690224,1.2285561865973986
AR,F,128,737.2847186221991,20,1.1565497677833116,1.077254588432976,1.2520000924228707
AR,S,1,5.76003686423593,20,0.14359545506900528,0.12063231445566958,0.1692935614723896
AR,S,2,11.52007372847186,20,0.3398427725195071,0.29473144651278926,0.39303005239143085
AR,S,4,23.04014745694372,20,0.7761254655879184,0.7126543660267992,0.850409754462374
AR,S,8,46.08029491388744,20,0.9747203688864632,0.9378906432306383,1.017591842872835
AR,S,16,92.16058982777488,20,0.9757638420694347,0.9366303022008577,1.0194816934955313
AR,S,32,184.32117965554977,20,1.002661232388188,0.9849116763728738,1.0205739586885991
AR,S,64,368.64235931109954,20,1.0104503105179345,1.0030425148738404,1.0213723016868619
AR,S,128,737.2847186221991,20,1.0077538017081686,1.0010388016772223,1.0174670898996825
AR,Z,1,5.76003686423593,20,0.2356855761943099,0.2003709935052447,0.2847734498890247
AR,Z,2,11.52007372847186,20,0.4637411616571868,0.4162844412363693,0.5278600559654171
AR,Z,4,23.04014745694372,20,0.8497586044636718,0.8053791310356775,0.8993759556568128
AR,Z,8,46.08029491388744,20,0.9717443225046916,0.939709578844457,1.0009022332322355
AR,Z,16,92.16058982777488,20,1.0035451246270823,0.9720203594667604,1.0341784789036832
AR,Z,32,184.32117965554977,20,1.0784261090639382,1.0451319059515092,1.118001290612056
AR,Z,64,368.64235931109954,20,1.1273091462993414,1.079781392262544,1.1840438254400947
AR,Z,128,737.2847186221991,20,1.1353518486556182,1.0829559038583942,1.1969295493804295
ESN,F,1,5.76003686423593,20,0.17861630708688905,0.14946236069629923,0.2099718827614789
ESN,F,2,11.52007372847186,20,0.326079163766333,0.28387684319317713,0.37051181591359855
ESN,F,4,23.04014745694372,20,0.620890627075098,0.5613340151223951,0.6798856964708363
ESN,F,8,46.08029491388744,20,0.933216289069436,0.8811890864135027,0.9814670763016818
ESN,F,16,92.16058982777488,20,1.0882452042428812,1.0371265350637944,1.144447806346686
ESN,F,32,184.32117965554977,20,1.1235422552129095,1.076885504118264,1.1777815273086985
ESN,F,64,368.64235931109954,20,1.121662024087661,1.074214132227981,1.1776234069008538
ESN,F,128,737.2847186221991,20,1.1087151692849024,1.0590020551476351,1.168338752672877
ESN,S,1,5.76003686423593,20,0.14825961991613337,0.12231940170068817,0.1766934322890191
ESN,S,2,11.52007372847186,20,0.3388258515684626,0.2882946970459752,0.39552094780299313
ESN,S,4,23.04014745694372,20,0.7338751569379025,0.6611214860937052,0.8109761973794004
ESN,S,8,46.08029491388744,20,0.9563861779738858,0.9100322609336317,1.0080966794389448
ESN,S,16,92.16058982777488,20,0.9713482312015762,0.9419131849208143,1.0038227479123742
ESN,S,32,184.32117965554977,20,0.9964306985771874,0.978275737955652,1.0142703877546322
ESN,S,64,368.64235931109954,20,1.010050906858749,1.001762183533402,1.024138991552239
ESN,S,128,737.2847186221991,20,1.0077502121344053,1.0008123272242164,1.0174811507302868
ESN,Z,1,5.76003686423593,20,0.2613118597456553,0.22816625531495033,0.30561324079169233
ESN,Z,2,11.52007372847186,20,0.49714330575411747,0.4535752274195087,0.5518332180738058
ESN,Z,4,23.04014745694372,20,0.8606327941837172,0.8143141716943976,0.9106331998302954
ESN,Z,8,46.08029491388744,20,0.9901870977227476,0.9505595618186676,1.0293843774136036
ESN,Z,16,92.16058982777488,20,1.0204384180098045,0.9792837080064798,1.0627606777768475
ESN,Z,32,184.32117965554977,20,1.0950244079832114,1.0492008590939712,1.1493864211654876
ESN,Z,64,368.64235931109954,20,1.1607762003968656,1.0904117840608185,1.2437360191069338
ESN,Z,128,737.2847186221991,20,1.176625091433845,1.094418257706575,1.2745385528298634
ESN_66,F,1,5.76003686423593,20,0.18461477790204572,0.1552990069322508,0.2162920460935029
ESN_66,F,2,11.52007372847186,20,0.33149290979581364,0.28949296899840743,0.3756474288851843
ESN_66,F,4,23.04014745694372,20,0.6230909842832935,0.5633426561598123,0.6827876328953901
ESN_66,F,8,46.08029491388744,20,0.9326774366834141,0.879570120135686,0.9828093740637684
ESN_66,F,16,92.16058982777488,20,1.0877867317040577,1.0361160837276195,1.1442550953941202
ESN_66,F,32,184.32117965554977,20,1.1236057453377075,1.0772711574427436,1.177350768934451
ESN_66,F,64,368.64235931109954,20,1.12191638924182,1.0742321645163546,1.1780848863237625
ESN_66,F,128,737.2847186221991,20,1.1090545654180333,1.059182425517994,1.1687675798152293
ESN_66,S,1,5.76003686423593,20,0.16263001177285052,0.13674843159892244,0.19115387778136367
ESN_66,S,2,11.52007372847186,20,0.3671030680930869,0.3173989938311382,0.42580756534084985
ESN_66,S,4,23.04014745694372,20,0.7687918575077755,0.7011937430689482,0.8433715719244737
ESN_66,S,8,46.08029491388744,20,0.9654445982269415,0.9214207486263148,1.0163194262744377
ESN_66,S,16,92.16058982777488,20,0.9722460203733487,0.943681279382886,1.0040040812667188
ESN_66,S,32,184.32117965554977,20,0.9973516844449899,0.9812401221482379,1.013576890246004
ESN_66,S,64,368.64235931109954,20,1.0096123640608865,1.0014430874161881,1.0234627031248096
ESN_66,S,128,737.2847186221991,20,1.0077358974061488,1.0008323045798246,1.0174351057897086
ESN_66,Z,1,5.76003686423593,20,0.26573772230993686,0.23204750114516726,0.3109961834877474
ESN_66,Z,2,11.52007372847186,20,0.5061285583535369,0.4615532542163753,0.562478197681069
ESN_66,Z,4,23.04014745694372,20,0.8742933685025939,0.8263499173160688,0.9272392246075329
ESN_66,Z,8,46.08029491388744,20,0.9982627843332024,0.9566996023607623,1.0397116126231751
ESN_66,Z,16,92.16058982777488,20,1.0297462369825527,0.9846542250753103,1.0773747681667991
ESN_66,Z,32,184.32117965554977,20,1.1012756125348113,1.052758816330488,1.1590946732153402
ESN_66,Z,64,368.64235931109954,20,1.162504993977575,1.0907427931200606,1.2473795504566674
ESN_66,Z,128,737.2847186221991,20,1.1775424678479225,1.094698912815684,1.27629411430693
NVAR2,F,1,5.76003686423593,20,0.16201581345996746,0.13427417012243656,0.19265752030033742
NVAR2,F,2,11.52007372847186,20,0.3107209912542663,0.26699988929666146,0.3569008356713033
NVAR2,F,4,23.04014745694372,20,0.6176989651063836,0.5585624192956969,0.6771063798720244
NVAR2,F,8,46.08029491388744,20,0.9440419033290863,0.8898523364977068,0.9947633799953752
NVAR2,F,16,92.16058982777488,20,1.1053402764734868,1.0434932212025267,1.1760915930624043
NVAR2,F,32,184.32117965554977,20,1.1554849878957356,1.0813335427704498,1.2461734548720327
