set,model,horizon,channel_seed,noise_replicate,shots,shot_label,segment_id,selected_alpha,nrmse,rmse,r2,mae
S,single_kernel,64,1,0,0,exact,S007,100.0,1.0161075244147122,0.8245799347803716,-0.03247450117219497,0.6348651242310609
S,single_kernel,64,1,0,0,exact,S009,100.0,1.0086252639916595,1.1016593863256208,-0.017324923162244987,0.894991940646485
S,single_kernel,64,1,0,0,exact,S011,100.0,1.0010768670531471,1.179518181670219,-0.0021548937489439535,0.8517099080016066
S,single_kernel,64,1,0,0,exact,S013,100.0,1.004282901655563,1.77401831650858,-0.008584146557716998,1.4050284359315244
S,single_kernel,64,1,0,0,exact,S019,100.0,1.0015370780778619,1.4744767177685432,-0.003076518764741243,1.1564006772845743
S,single_kernel,64,1,0,0,exact,S028,100.0,0.9981788094357988,1.5464357798650223,0.0036390643933312816,1.2817665086304586
S,single_kernel,64,1,0,0,exact,S030,100.0,1.004101799468481,1.5400908836598783,-0.008220423695841639,1.1521803369576251
S,single_kernel,64,1,0,0,exact,S034,100.0,1.0028143287246065,1.2369250392507631,-0.005636577895383077,0.9297400877920146
S,single_kernel,64,1,0,0,exact,S035,100.0,1.0027305184046238,1.7258762438244981,-0.005468492540005476,1.4261237963186686
S,single_kernel,64,1,0,0,exact,S037,100.0,0.999050017646679,1.937239328435122,0.001899062240170224,1.4712771778345015
S,single_kernel,64,1,0,0,exact,S067,100.0,1.0021956365554288,1.606526859307338,-0.0043960939307408076,1.2747575123382204
S,single_kernel,64,1,0,0,exact,S068,100.0,1.0005870670420343,1.8236856987152992,-0.0011744787317806704,1.3494423654642738
S,single_kernel,64,1,0,0,exact,S072,100.0,0.9957091070665012,0.8250134174724904,0.008563374104830879,0.7138071561667697
S,single_kernel,64,1,0,0,exact,S073,100.0,1.01695351074241,1.0763133981951056,-0.03419444301131258,0.801842409887179
S,single_kernel,64,1,0,0,exact,S075,100.0,1.0036742172673832,0.6530351568446631,-0.007361934407294379,0.5297350922775373
S,single_kernel,64,1,0,0,exact,S077,100.0,1.017330866515249,0.3753020765316694,-0.03496209196466693,0.28048103931389484
S,single_kernel,64,1,0,0,exact,S080,100.0,0.9989567734916445,1.7039452484176203,0.0020853646951634053,1.4380369817134189
S,single_kernel,64,1,0,0,exact,S082,100.0,1.0054260000195934,1.3078967883195798,-0.010881441515399715,1.0555649909528015
S,single_kernel,64,1,0,0,exact,S083,100.0,1.0745230520790094,0.3373601742397671,-0.15459978944918928,0.2521571491837733
S,single_kernel,128,1,0,0,exact,S005,100.0,1.0010579320956707,1.1008391022572395,-0.0021169834116607777,0.9415490073093564
S,single_kernel,128,1,0,0,exact,S007,100.0,1.0043367395637288,0.8152808443691785,-0.008692286437501195,0.628402507649526
S,single_kernel,128,1,0,0,exact,S009,100.0,1.0031636530356733,1.1022125721056346,-0.006337314771876823,0.8955870670636356
S,single_kernel,128,1,0,0,exact,S011,100.0,1.0001653238923511,1.1768274375029284,-0.0003306751166913813,0.8509055168398691
S,single_kernel,128,1,0,0,exact,S013,100.0,1.0026801236531309,1.7690828399453922,-0.005367430369057846,1.4031246778417663
S,single_kernel,128,1,0,0,exact,S019,100.0,0.9992640216241149,1.46745498235768,0.0014714150876005139,1.1497275854469746
S,single_kernel,128,1,0,0,exact,S028,100.0,1.0003232033953082,1.5545543609395023,-0.0006465112510509741,1.284965398241168
S,single_kernel,128,1,0,0,exact,S030,100.0,1.0029359775612572,1.5391975704797842,-0.005880575086754547,1.1496400950284846
S,single_kernel,128,1,0,0,exact,S034,100.0,1.0006960259278386,1.2213108551988494,-0.0013925363077698094,0.9225706762848096
S,single_kernel,128,1,0,0,exact,S035,100.0,1.0011672111341274,1.7231832058586687,-0.0023357846500866586,1.4228998546709668
S,single_kernel,128,1,0,0,exact,S037,100.0,1.001570902666931,1.9404439536174478,-0.0031442730690509624,1.4724094286428573
S,single_kernel,128,1,0,0,exact,S067,100.0,1.0016644734404403,1.6024999467257244,-0.003331717352714536,1.268760608039661
S,single_kernel,128,1,0,0,exact,S068,100.0,1.0025865574115291,1.8301036683988965,-0.005179805102301538,1.3496410914293313
S,single_kernel,128,1,0,0,exact,S072,100.0,0.9872804843624018,0.8180205531822443,0.025277245197141363,0.7061514056591801
S,single_kernel,128,1,0,0,exact,S073,100.0,1.013530372780326,1.068970821772253,-0.027243816548226052,0.7947388249319708
S,single_kernel,128,1,0,0,exact,S075,100.0,1.0145572177680027,0.6585674086812277,-0.029326348125150448,0.5338109837098056
S,single_kernel,128,1,0,0,exact,S077,100.0,1.0122433075449497,0.37365105783585534,-0.024636513669539672,0.2799617652727744
S,single_kernel,128,1,0,0,exact,S080,100.0,0.9943280960627335,1.6996693348872824,0.011311637380259754,1.4297160852773632
S,single_kernel,128,1,0,0,exact,S082,100.0,1.0046498785342004,1.3069122533671926,-0.009321378438783556,1.0550875891510678
S,single_kernel,128,1,0,0,exact,S083,100.0,1.0393455840505617,0.32744124436887495,-0.08023924308540287,0.24710035038075379
S,single_kernel,1,2,0,0,exact,S005,1e-08,0.1631309101813372,0.1782906423483868,0.9733883061434085,0.10522284001250713
S,single_kernel,1,2,0,0,exact,S007,1e-08,0.3371871982088582,0.2746376818103754,0.8863047933640602,0.1253292485221679
S,single_kernel,1,2,0,0,exact,S009,1e-08,0.141842950333678,0.15444995157261307,0.9798805774406377,0.11613916126958036
S,single_kernel,1,2,0,0,exact,S011,1e-08,0.2440247586625801,0.2889463612279578,0.9404519171596696,0.16584375558067754
S,single_kernel,1,2,0,0,exact,S013,1e-08,0.13440564976394428,0.2375308080324968,0.9819351213115319,0.15026307902961922
S,single_kernel,1,2,0,0,exact,S019,1e-08,0.11847144523506621,0.17501518207119,0.9859645166639147,0.11805064346790343
