set,model,horizon,shots,mean_nrmse,median_nrmse_inflation,mean_nrmse_inflation,paired_segment_ci95_low,paired_segment_ci95_high,median_relative_nrmse_inflation,mean_relative_nrmse_inflation,p90_relative_nrmse_inflation,useful_horizon,criterion,exact_useful_horizon,useful_horizon_change_from_exact
F,QRC_K0,2,10000,0.4777185584359836,0.08544092129272546,0.10431249835319902,0.06555033880807248,0.14334048197405433,0.3199393178304676,0.33104229690844417,0.6947674591825119,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,4,100,0.9207019633239986,0.22118770824872505,0.27596016691804304,0.20289909610797632,0.35379236444997836,0.4433401274236518,0.4624625963443778,0.877721695236122,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,4,300,0.8435724757684905,0.1595284098735099,0.19883067936253482,0.13975083041619868,0.2611711582969138,0.3197403878272411,0.33530179166980434,0.6700234252219256,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,4,1000,0.7772150914418933,0.10737016569942745,0.13247329503593763,0.08836667743936905,0.17655826580358527,0.21184523744192874,0.22546107537828314,0.46770716250176997,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,4,3000,0.7360177954200589,0.07726203612187355,0.09127599901410333,0.055853298258588535,0.1249017679593976,0.15200426139064022,0.15728394363794831,0.3436856732222741,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,4,10000,0.7082729149065713,0.05291837551520595,0.06353111850061577,0.03905888621682253,0.09138780460119425,0.10034142087600059,0.10998544062310854,0.2496371148858559,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,8,100,1.077009167074455,0.10256156676798661,0.12904699824533036,0.08940885231324898,0.1710027458861844,0.12132819137644629,0.13787865041452016,0.2760259927421302,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,8,300,1.045272929851682,0.07941270033400899,0.09731076102255719,0.06438413515191209,0.13162886227529283,0.0924423366762268,0.10364714915168195,0.212442694856067,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,8,1000,1.0164111416819888,0.0589646465234518,0.06844897285286398,0.04451924924738774,0.09354680877125016,0.06436668432240014,0.07295221241309313,0.15931352800787096,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,8,3000,0.9962271260039853,0.041384865128582,0.04826495717486052,0.032645240282864904,0.06520132367155093,0.046226117238319944,0.05169483955574309,0.11134730685243407,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,8,10000,0.9836260258645229,0.0291953922186837,0.03566385703539804,0.02316070805397492,0.04923452793312104,0.032319052818447006,0.03795362395925041,0.08856720895786664,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,16,100,1.1128224361748815,0.0315890697071784,0.035296348476225946,0.016221485711598902,0.055336608523580716,0.030775312278939,0.032229975829384035,0.08199838941584982,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
