stratum,r,u0,theory,metric,n_total,n_valid,n_pass,pass_fraction,mean,median,std,min,max,q10,q25,q75,q90
r=0.7,0.7,all,separable_W_times_R,memory_function_l1,30,30,0,0.0,0.5951436174063035,0.6084171880012048,0.06314675127725249,0.4480162446211884,0.698290175710882,0.5000380546329085,0.551111745466631,0.6361211693993708,0.6725722603144404
r=0.7,0.7,all,separable_W_times_R,impulse_cosine_similarity,30,30,-1,,0.9241425604969269,0.927130728858683,0.01685919481323455,0.8730947192452498,0.9492321484179844,0.8998750693177268,0.9163325399389528,0.936094620984283,0.9434465391833264
r=0.7,0.7,all,separable_W_times_R,step_cosine_similarity,30,30,-1,,0.9965405043630624,0.9968904204623401,0.0016757829590524815,0.9925087165912914,0.9991672615602625,0.9941195974172549,0.9956455120064938,0.9976990072153804,0.9981155386153131
r=0.7,0.7,all,tangent_recurrence,joint_pass_all4,30,30,30,1.0,,,,,,,,,
r=0.7,0.7,all,separable_W_times_R,joint_pass_all4,30,30,0,0.0,,,,,,,,,
r=0.7,0.7,all,n/a,locally_stable_over_valid,30,30,30,1.0,,,,,,,,,
r=0.7,0.7,all,n/a,locally_stable_over_total,30,30,30,1.0,,,,,,,,,
r=0.9,0.9,all,tangent_recurrence,impulse_relative_frobenius,30,30,30,1.0,3.398344378654158e-05,2.8648948757287104e-05,1.2833678227387884e-05,1.8278545757877164e-05,6.730246901335104e-05,2.2194041124050388e-05,2.423592713979493e-05,4.1497026931944914e-05,4.887501459985824e-05
r=0.9,0.9,all,tangent_recurrence,step_relative_frobenius,30,30,30,1.0,7.780472132055945e-05,4.927218477484928e-05,6.500358405370789e-05,3.171416986976163e-05,0.0002725585639464505,3.582559051137056e-05,3.9569643624229684e-05,7.415374057749246e-05,0.00019164479437924536
r=0.9,0.9,all,tangent_recurrence,frequency_relative_frobenius,30,30,30,1.0,3.398344378654094e-05,2.864894875728635e-05,1.2833678227387835e-05,1.8278545757876825e-05,6.730246901335231e-05,2.219404112405099e-05,2.4235927139794064e-05,4.149702693194172e-05,4.887501459985816e-05
r=0.9,0.9,all,tangent_recurrence,memory_function_l1,30,30,30,1.0,1.2711346561514543e-05,8.897665162818959e-06,9.331919347748346e-06,2.972646846110012e-07,3.6970578698684316e-05,2.821378874080851e-06,5.70651712907011e-06,1.9501146976199327e-05,2.5028758569009268e-05
r=0.9,0.9,all,tangent_recurrence,impulse_cosine_similarity,30,30,-1,,0.9999999994200839,0.9999999996130033,4.636611752039698e-10,0.9999999980929786,0.9999999998616219,0.9999999988216289,0.9999999992402504,0.9999999997407187,0.9999999997702557
r=0.9,0.9,all,tangent_recurrence,step_cosine_similarity,30,30,-1,,0.9999999965670586,0.9999999991239643,7.248382849583271e-09,0.999999963324326,0.9999999995665646,0.999999988490087,0.9999999989225808,0.9999999994485147,0.9999999995074446
r=0.9,0.9,all,separable_W_times_R,impulse_relative_frobenius,30,30,0,0.0,0.4238734278943503,0.4186252788948215,0.061406475598022855,0.3470553428119421,0.5964831371352773,0.3520481757532866,0.3693681155389491,0.45765154597397184,0.5042176800350512
r=0.9,0.9,all,separable_W_times_R,step_relative_frobenius,30,30,0,0.0,0.17615876622785123,0.1548144239504243,0.07436843466372388,0.05846899791597365,0.37199737785052506,0.107368770723658,0.12152659104397441,0.20915509339813254,0.27525759884013634
r=0.9,0.9,all,separable_W_times_R,frequency_relative_frobenius,30,30,0,0.0,0.4238734278943503,0.4186252788948216,0.06140647559802287,0.3470553428119421,0.5964831371352775,0.3520481757532867,0.369368115538949,0.45765154597397184,0.5042176800350512
r=0.9,0.9,all,separable_W_times_R,memory_function_l1,30,30,0,0.0,0.6384286730120555,0.6559481078384923,0.10531612834943174,0.4491248103332253,0.8651787671173917,0.4949449921978709,0.5514613723213173,0.7047793289756257,0.7683408647517862
r=0.9,0.9,all,separable_W_times_R,impulse_cosine_similarity,30,30,-1,,0.9112975919698812,0.9114020820280386,0.023702851364995066,0.8559264357611929,0.947334423839349,0.8821039465174437,0.8961193351211542,0.932563996005189,0.9425959929601565
r=0.9,0.9,all,separable_W_times_R,step_cosine_similarity,30,30,-1,,0.9914603749671494,0.9921903790582274,0.0041676223507254705,0.9804426643471549,0.9982897756791699,0.9861705379419018,0.9894246149997469,0.9941959254997821,0.9952366208493226
r=0.9,0.9,all,tangent_recurrence,joint_pass_all4,30,30,30,1.0,,,,,,,,,
r=0.9,0.9,all,separable_W_times_R,joint_pass_all4,30,30,0,0.0,,,,,,,,,
r=0.9,0.9,all,n/a,locally_stable_over_valid,30,30,30,1.0,,,,,,,,,
r=0.9,0.9,all,n/a,locally_stable_over_total,30,30,30,1.0,,,,,,,,,
u0=-0.5,all,-0.5,tangent_recurrence,impulse_relative_frobenius,20,20,20,1.0,4.642967219602269e-05,4.742492461257326e-05,1.5140452796150842e-05,2.530791671586486e-05,7.237731804765116e-05,2.7312979829499714e-05,3.3555766293674144e-05,5.941887029996674e-05,6.745684433608656e-05
u0=-0.5,all,-0.5,tangent_recurrence,step_relative_frobenius,20,20,20,1.0,0.00013718754353724374,0.0001355446184435206,9.209096026907176e-05,3.303663964546303e-05,0.00030154124718370824,3.461655705702169e-05,3.8143363294216213e-05,0.00020463620489855693,0.0002513159306404384
u0=-0.5,all,-0.5,tangent_recurrence,frequency_relative_frobenius,20,20,20,1.0,4.64296721960228e-05,4.742492461257304e-05,1.5140452796149764e-05,2.5307916715866344e-05,7.237731804764633e-05,2.7312979829501053e-05,3.355576629367557e-05,5.941887029996552e-05,6.745684433608747e-05
