seed,r,u0,epsilon,fixed_point_converged,fixed_iterations,fixed_final_difference,companion_spectral_radius,companion_stable,companion_dimension,n_unstable_modes,dominant_abs_1,dominant_abs_2,dominant_abs_3,companion_max_real_part,max_A_eigenvalue_abs,valid,exception,K,past_mass,git_commit,config_sha256,protocol_sha256
4,0.7,0.5,0.0001,True,457,9.926272918376138e-14,0.9722221163176386,True,4080,0,0.9722221163176386,0.9632504100303736,0.9370345138108116,0.9722221163176386,0.9441038440304026,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
4,0.9,0.5,0.0001,True,457,9.926272918376138e-14,0.9807784313136505,True,4080,0,0.9807784313136505,0.9746366154604534,0.9568269670951826,0.9807784313136505,0.9441038440304026,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
5,0.7,-0.5,0.0001,True,1657,9.979022733187801e-14,0.9927768458607078,True,4080,0,0.9927768458607078,0.9501834048266147,0.9105861062304166,0.9927768458607078,0.985647742676593,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
5,0.9,-0.5,0.0001,True,1657,9.979022733187801e-14,0.9949685848674181,True,4080,0,0.9949685848674181,0.9657375187795145,0.9389828882079219,0.9949685848674181,0.985647742676593,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
5,0.7,0.0,0.0001,True,1669,9.994522458762238e-14,0.9927664612229086,True,4080,0,0.9927664612229086,0.945269563191804,0.9297207169642341,0.9927664612229086,0.9856270196374635,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
5,0.9,0.0,0.0001,True,1669,9.994522458762238e-14,0.9949613691442944,True,4080,0,0.9949613691442944,0.9624030690872195,0.9518849921851056,0.9949613691442944,0.9856270196374635,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
5,0.7,0.5,0.0001,True,1771,9.90736083997286e-14,0.9931270707702935,True,4080,0,0.9931270707702935,0.9513652183410979,0.9305966545740669,0.9931270707702935,0.9863464816995033,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
5,0.9,0.5,0.0001,True,1771,9.90736083997286e-14,0.99521196668763,True,4080,0,0.99521196668763,0.9665403802798839,0.9524764417038547,0.99521196668763,0.9863464816995033,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
6,0.7,-0.5,0.0001,True,823,9.693132582427673e-14,0.9844179249109735,True,4080,0,0.9844179249109735,0.9453453595760974,0.9242592796422147,0.9844179249109735,0.9688821031460111,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
6,0.9,-0.5,0.0001,True,823,9.693132582427673e-14,0.9891762837126294,True,4080,0,0.9891762837126294,0.9624544593872533,0.9481994735266339,0.9891762837126294,0.9688821031460111,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
