construction,set,horizon,seed,segment_id,nrmse,rmse,r2,mae
AR,Z,1,1,Z034,0.3859044086824854,0.3469408333676342,0.8510777873594213,0.27045106204825303
AR,Z,1,1,Z035,0.13229303409829163,0.15416259980304775,0.9824985531290682,0.12252563065547813
AR,Z,1,1,Z037,0.19860129826195572,0.18890200022236955,0.9605575243286657,0.15057081056029578
AR,Z,1,1,Z067,0.19249256664217418,0.18857517280962582,0.9629466117875082,0.15109606155205252
AR,Z,1,1,Z068,0.223279999563545,0.19300189712757232,0.9501460417949034,0.1510168491603361
AR,Z,1,1,Z072,0.20565777145516423,0.19385702603476793,0.9577048810400954,0.15310087638639308
AR,Z,1,1,Z073,0.22802821324779193,0.1198119394065692,0.9480031339630195,0.09480689048133159
AR,Z,1,1,Z075,0.1676386504319334,0.1512616068782213,0.97189728288136,0.11959115176517336
AR,Z,1,1,Z077,0.19437546356956406,0.20681370757163148,0.962218179162117,0.16107785815957304
AR,Z,1,1,Z080,0.2408790745056406,0.11235980403405328,0.9419772714653061,0.0891756602427611
AR,Z,1,1,Z082,0.26709405897798083,0.2678800904977946,0.9286607636586669,0.21056212596782864
AR,Z,1,1,Z083,0.22311048257492636,0.1394858409968234,0.9502217125651835,0.10525286643194347
AR,Z,1,2,Z005,0.23907566941589425,0.2240721832643379,0.942842824293342,0.17717129606923535
AR,Z,1,2,Z007,0.20926279587732866,0.2008948415841686,0.9562090822616035,0.16017085241885137
AR,Z,1,2,Z009,0.22281305082799518,0.14638963390645243,0.9503543443807212,0.11573822513111813
AR,Z,1,2,Z011,0.20583455560734157,0.1641526320671462,0.9576321357179282,0.1300572246653228
AR,Z,1,2,Z013,0.18153519030598278,0.12338091931827169,0.9670449746805706,0.0980353429055884
AR,Z,1,2,Z019,0.18281632289965485,0.11659481259285194,0.9665781920814491,0.09121771852184242
AR,Z,1,2,Z028,0.19651239382690047,0.13728068819347933,0.9613828790724211,0.1084446430677531
AR,Z,1,2,Z030,0.6165065231136487,0.6741594737874038,0.6199197069583202,0.5312586176938037
AR,Z,1,2,Z034,0.3859044086824854,0.3469408333676342,0.8510777873594213,0.27045106204825303
